,song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
22,No One Knows,0,255066,0.0137,0.518,0.5379999999999999,0.000398,0,0.141,-5.818,1,0.0486,170.953,4,0.687
26,Blurry,0,303920,0.0102,0.44,0.932,0.0,3,0.142,-4.488,0,0.0584,157.438,4,0.495
30,All My Life,0,262733,0.000194,0.5820000000000001,0.597,0.000273,5,0.517,-5.671,1,0.0512,167.738,4,0.674
36,The Pretender,0,269373,0.000917,0.433,0.959,0.0,9,0.028,-4.04,1,0.0431,172.984,4,0.365
91,Como,0,234373,0.00323,0.5429999999999999,0.847,0.0,9,0.0551,-3.574,1,0.0659,92.046,4,0.65
98,Nice & Slow,0,218448,0.006940000000000001,0.799,0.616,0.00237,5,0.28300000000000003,-4.599,0,0.0415,127.023,4,0.6970000000000001
100,Don't Werk,0,133120,0.108,0.703,0.617,5.6100000000000015e-05,7,0.271,-8.732000000000001,1,0.0731,123.159,4,0.435
106,Dinero - English Version,0,161093,0.00436,0.701,0.779,0.0,11,0.121,-4.657,0,0.0647,119.974,4,0.451
118,Island,0,194011,0.118,0.743,0.7929999999999999,6.07e-05,2,0.227,-5.032,0,0.0546,109.921,4,0.434
121,Beautiful Girls,0,241933,0.159,0.745,0.6659999999999999,0.0,9,0.302,-5.899,1,0.0566,129.995,4,0.708
184,Caught Up,0,224946,0.0251,0.815,0.8079999999999999,5.37e-06,6,0.12,-4.614,1,0.0511,110.063,4,0.746
200,La Vida Es Un Carnaval,0,275253,0.439,0.82,0.7170000000000001,0.00107,8,0.236,-6.191,1,0.0722,104.005,4,0.843
202,La Camisa Negra,0,216706,0.0838,0.7509999999999999,0.731,0.0,6,0.0556,-4.419,0,0.0308,97.007,4,0.973
210,El Matador,0,277600,0.0306,0.5660000000000001,0.911,0.0247,4,0.0574,-9.458,0,0.0791,193.538,4,0.638
225,Querida,0,319560,0.318,0.522,0.526,0.0,2,0.116,-6.3610000000000015,1,0.0259,90.02,4,0.43
229,I Know You Want Me (Calle Ocho),0,238680,0.0151,0.815,0.757,5.260000000000001e-05,2,0.187,-5.351,1,0.165,127.052,4,0.8109999999999999
234,Besame Mucho,0,181960,0.701,0.7070000000000001,0.408,0.0,5,0.105,-12.776,0,0.0366,126.399,4,0.843
237,Chan Chan,0,257213,0.83,0.507,0.423,0.00916,2,0.0973,-14.187,0,0.0332,82.809,4,0.701
282,Hit the Road Jack,0,120173,0.7140000000000001,0.599,0.7040000000000001,0.0,8,0.521,-8.566,0,0.243,173.043,4,0.95
283,Proud Mary,0,187213,0.13,0.6990000000000001,0.6409999999999999,0.000218,2,0.0601,-7.564,1,0.0289,120.745,4,0.728
285,Summertime Blues,0,226906,0.462,0.456,0.514,0.00037,7,0.268,-9.733,0,0.053,138.377,4,0.657
288,All Day and All of the Night - 2014 Remastered Version,0,142480,0.498,0.551,0.954,0.0,7,0.0884,-2.844,1,0.0814,136.862,4,0.685
291,Jumpin' Jack Flash - Mono / Remastered,0,219466,0.047,0.6,0.897,0.727,3,0.0672,-7.275,1,0.0477,137.375,4,0.6759999999999999
326,Hush - 2014 Remastered Version,0,252040,0.0176,0.585,0.6759999999999999,0.732,5,0.129,-11.267,1,0.0471,109.309,4,0.474
331,I'm A Man,0,176160,0.038,0.55,0.929,0.0,9,0.135,-5.765,1,0.0815,129.011,4,0.643
336,See Emily Play - 2016 Remastered Version,0,174573,0.211,0.438,0.754,0.0,2,0.124,-7.035,1,0.0381,123.744,4,0.435
338,Psychotic Reaction - Rarities Version,0,189848,0.000288,0.355,0.7609999999999999,0.0141,11,0.189,-6.309,1,0.0978,165.209,4,0.685
341,96 Tears,0,177426,0.0586,0.68,0.507,6.49e-06,7,0.0754,-5.9289999999999985,1,0.0336,123.47,4,0.8540000000000001
346,I'm Waiting For The Man - Album Version (Stereo),0,279520,0.025,0.682,0.621,0.852,7,0.153,-9.653,1,0.0451,125.91,4,0.861
363,Wildflowers - Remastered,0,216573,0.762,0.609,0.368,6.28e-06,10,0.335,-13.338,1,0.0294,90.373,4,0.618
372,Maggie May,0,350266,0.5589999999999999,0.605,0.574,0.113,2,0.0684,-10.536,1,0.0377,129.44899999999998,4,0.5429999999999999
405,Solsbury Hill,0,262600,0.378,0.6779999999999999,0.622,0.000953,11,0.363,-8.875,1,0.0301,102.229,1,0.471
503,The Lamb Lies Down On Broadway (Platinum Collection Version),0,289373,0.453,0.377,0.778,0.0,4,0.5710000000000001,-6.658,1,0.0827,117.238,4,0.218
