,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
0,1,262333,0.005520000000000001,0.496,0.682,2.94e-05,8,0.0589,-4.095,1,0.0294,167.06,4,0.474
1,0,216933,0.0103,0.542,0.853,0.0,3,0.108,-6.407,0,0.0498,105.256,4,0.37
2,1,231733,0.00817,0.737,0.463,0.447,0,0.255,-7.8279999999999985,1,0.0792,123.881,4,0.324
3,1,216933,0.0264,0.451,0.97,0.00355,0,0.102,-4.938,1,0.107,122.444,4,0.198
4,0,223826,0.000954,0.447,0.7659999999999999,0.0,10,0.113,-5.065,1,0.0313,172.011,4,0.574
5,1,235893,0.00895,0.316,0.945,1.85e-06,4,0.396,-3.169,0,0.124,189.931,4,0.32
6,1,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0,0.0624,90.578,4,0.7240000000000001
7,1,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537
8,1,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234
9,1,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374
10,1,168253,0.0424,0.629,0.897,0.0,2,0.263,-3.401,1,0.0483,161.944,4,0.93
11,0,185586,0.0046,0.496,0.863,0.0,9,0.639,-4.1530000000000005,1,0.0381,110.018,4,0.243
12,1,209266,0.00434,0.647,0.964,0.0036,9,0.15,-4.225,0,0.06,126.942,4,0.875
13,1,269000,0.0179,0.618,0.938,0.0,9,0.16699999999999998,-3.442,1,0.0456,91.455,4,0.875
14,0,210240,0.000353,0.42,0.929,0.0007469999999999999,7,0.122,-3.899,0,0.121,127.204,4,0.3
15,1,237026,0.000423,0.278,0.6759999999999999,0.0008990000000000002,9,0.136,-8.821,1,0.0371,104.545,4,0.494
16,0,227240,0.00136,0.659,0.778,6.79e-06,11,0.0841,-6.422999999999999,1,0.0379,110.022,4,0.623
17,0,256600,0.00701,0.37,0.944,2.9e-06,1,0.135,-4.979,0,0.0767,130.315,4,0.345
18,1,187613,0.0938,0.5670000000000001,0.795,0.0,9,0.114,-4.985,0,0.134,170.06,4,0.635
19,1,233933,0.006640000000000001,0.545,0.865,1.12e-05,11,0.168,-5.707999999999998,0,0.0286,99.01,4,0.5429999999999999
20,0,231533,0.0014,0.309,0.912,0.000271,4,0.5820000000000001,-3.881,0,0.0646,183.035,3,0.302
21,1,230760,0.005520000000000001,0.276,0.715,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,0.173
22,0,255066,0.0137,0.518,0.5379999999999999,0.000398,0,0.141,-5.818,1,0.0486,170.953,4,0.687
23,0,195666,0.0171,0.58,0.981,1.07e-05,8,0.386,-2.603,0,0.06,134.007,4,0.861
24,1,304840,0.000202,0.602,0.905,0.064,2,0.117,-4.046,1,0.0775,128.019,4,0.411
25,1,232533,0.872,0.657,0.29100000000000004,0.0,2,0.114,-10.572,1,0.0293,103.973,4,0.298
26,0,303920,0.0102,0.44,0.932,0.0,3,0.142,-4.488,0,0.0584,157.438,4,0.495
27,1,176346,2.64e-05,0.38,0.988,7.859999999999999e-05,1,0.368,-2.042,1,0.0639,186.113,4,0.769
28,1,311106,0.00028900000000000003,0.217,0.905,0.00011,2,0.222,-4.103,1,0.0752,96.95,4,0.236
29,0,213106,0.0156,0.7140000000000001,0.725,0.0,4,0.0726,-6.4110000000000005,1,0.0402,99.988,4,0.59
30,0,262733,0.000194,0.5820000000000001,0.597,0.000273,5,0.517,-5.671,1,0.0512,167.738,4,0.674
31,1,293960,0.00797,0.614,0.568,0.0,7,0.0997,-5.477,0,0.0276,107.849,4,0.516
32,0,264706,0.00189,0.509,0.774,0.000549,6,0.14300000000000002,-4.0539999999999985,1,0.0338,116.529,4,0.0824
33,1,231480,0.00461,0.498,0.83,0.0,6,0.139,-5.157,0,0.0421,89.34200000000001,4,0.453
34,1,213760,0.00506,0.599,0.932,0.0,9,0.269,-3.3280000000000003,1,0.18,96.234,4,0.6920000000000001
35,1,178266,0.000618,0.574,0.911,0.0,9,0.0769,-5.176,1,0.0715,98.075,4,0.573
36,0,269373,0.000917,0.433,0.959,0.0,9,0.028,-4.04,1,0.0431,172.984,4,0.365
37,1,242280,0.00164,0.5489999999999999,0.93,6.670000000000001e-05,5,0.39,-3.468,0,0.0487,112.447,4,0.526
38,1,201960,0.0034700000000000004,0.6559999999999999,0.932,0.00147,4,0.14400000000000002,-3.405,0,0.0708,130.936,4,0.544
39,1,229093,0.00898,0.499,0.8240000000000001,0.0,7,0.163,-4.7410000000000005,1,0.0794,161.977,4,0.6990000000000001
40,0,193373,0.0223,0.624,0.899,0.000155,0,0.0975,-5.71,1,0.0295,104.055,4,0.797
41,0,282946,0.0417,0.545,0.753,0.0,3,0.389,-4.618,0,0.036000000000000004,105.754,4,0.434
42,0,200546,5.53e-05,0.374,0.961,0.0834,10,0.138,-4.421,0,0.0851,167.032,4,0.35700000000000004
43,1,279213,0.000996,0.695,0.8759999999999999,6.89e-06,3,0.106,-4.262,0,0.0553,89.954,4,0.941
44,0,212733,0.0006309999999999999,0.246,0.768,0.301,9,0.102,-7.48,1,0.0387,169.873,4,0.35
45,0,256240,0.00834,0.563,0.86,0.0106,8,0.39,-7.532999999999999,1,0.0621,97.867,4,0.517
46,0,194520,0.000153,0.391,0.831,0.00192,2,0.141,-3.892,1,0.0613,139.946,4,0.6829999999999999
47,0,206586,0.000213,0.309,0.875,0.00168,1,0.113,-4.49,1,0.0488,143.526,4,0.725
48,0,173680,0.00225,0.535,0.948,0.0,6,0.376,-4.19,0,0.0356,103.183,4,0.778
49,0,215266,0.0132,0.524,0.578,0.00921,9,0.108,-4.563,1,0.12,123.669,4,0.537
50,0,270920,0.00014,0.468,0.769,0.00124,4,0.271,-7.0360000000000005,1,0.041,104.102,4,0.17
51,0,175026,0.000295,0.5920000000000001,0.932,7.59e-05,6,0.138,-4.4910000000000005,0,0.0885,93.675,4,0.698
52,0,246040,4.78e-05,0.213,0.93,0.0,0,0.126,-4.478,1,0.0671,169.22099999999998,4,0.386
53,0,176306,5.1e-05,0.219,0.952,0.0989,2,0.157,-3.621,1,0.17600000000000002,112.886,1,0.172
54,0,277840,0.000336,0.433,0.8540000000000001,0.000177,9,0.162,-3.868,1,0.0483,89.4,4,0.368
55,0,238400,0.000671,0.509,0.843,0.0008029999999999999,1,0.348,-3.318,0,0.0488,140.055,3,0.332
56,0,207213,0.00018,0.546,0.959,0.00144,8,0.0584,-4.664,1,0.08199999999999999,127.831,4,0.416
57,0,218000,6.94e-06,0.408,0.965,0.000402,2,0.11,-4.232,1,0.05,136.018,4,0.349
58,0,299533,0.00024900000000000004,0.269,0.853,0.000246,7,0.118,-4.647,0,0.0854,141.58100000000005,4,0.179
59,0,247266,3.32e-05,0.365,0.894,0.171,11,0.267,-4.682,0,0.0572,82.305,3,0.31
60,1,210367,0.0143,0.818,0.54,0.000512,6,0.099,-6.35,0,0.0544,97.064,4,0.174
61,1,212500,0.153,0.841,0.7979999999999999,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591
62,0,185282,0.0983,0.83,0.4970000000000001,0.0,1,0.0906,-6.94,1,0.052000000000000005,127.965,4,0.634
63,1,199230,0.0557,0.687,0.7659999999999999,0.00107,11,0.146,-6.08,1,0.054000000000000006,94.973,4,0.303
64,1,180000,0.34600000000000003,0.638,0.7170000000000001,0.0,2,0.105,-4.722,1,0.0337,100.027,4,0.249
65,1,179693,0.35200000000000004,0.746,0.703,0.0,4,0.331,-4.1789999999999985,0,0.107,166.043,4,0.667
66,1,235720,0.0348,0.823,0.63,6.72e-06,7,0.0964,-3.932,1,0.0797,100.04,4,0.184
67,1,223583,0.235,0.701,0.512,5.07e-06,0,0.135,-6.869,0,0.0969,91.947,4,0.6629999999999999
68,0,243487,0.117,0.695,0.884,0.0,0,0.104,-6.279,1,0.131,74.992,4,0.8540000000000001
69,0,210865,0.716,0.722,0.584,0.000321,11,0.115,-8.467,0,0.318,169.97799999999995,4,0.6459999999999999
70,1,204664,0.00381,0.8,0.578,0.0,4,0.359,-5.144,0,0.0485,143.01,4,0.3670000000000001
71,1,215151,0.266,0.8170000000000001,0.74,0.0,11,0.0992,-4.566,0,0.28300000000000003,130.04,4,0.674
72,0,202373,0.107,0.398,0.66,0.0,1,0.121,-5.626,0,0.12,83.82799999999997,4,0.7190000000000001
73,0,162733,0.00397,0.812,0.748,0.0,5,0.174,-5.959,0,0.139,132.035,4,0.158
74,0,157461,0.0526,0.659,0.7340000000000001,2.48e-06,10,0.242,-4.008,1,0.046,161.971,4,0.34600000000000003
75,0,170997,0.232,0.705,0.778,0.0,9,0.244,-4.101,0,0.177,160.099,4,0.7090000000000001
76,0,188440,0.0255,0.723,0.687,0.000207,11,0.124,-4.632,0,0.2,173.747,4,0.777
77,0,253714,0.0257,0.928,0.402,0.0,8,0.0804,-7.569,0,0.451,139.998,4,0.62
78,0,272000,0.902,0.465,0.675,0.267,10,0.11,-7.555,1,0.0485,119.941,4,0.129
79,0,174000,0.5710000000000001,0.632,0.652,0.85,4,0.194,-10.558,1,0.0302,115.031,4,0.594
80,0,209573,0.921,0.471,0.179,0.0,9,0.101,-10.273,1,0.08900000000000001,174.273,4,0.194
81,0,202754,0.0857,0.871,0.545,0.000499,0,0.0756,-6.466,0,0.0625,96.035,4,0.415
82,0,178009,0.0646,0.8290000000000001,0.606,0.391,5,0.281,-7.093,1,0.149,118.051,4,0.732
83,0,169251,0.149,0.8370000000000001,0.649,7.63e-05,11,0.103,-5.26,0,0.192,164.002,4,0.948
84,1,220826,0.13699999999999998,0.8170000000000001,0.635,7.85e-06,5,0.245,-5.7189999999999985,0,0.138,103.029,4,0.777
85,1,217822,0.172,0.635,0.902,0.0,0,0.125,-3.559,1,0.109,102.063,4,0.28600000000000003
86,1,253390,0.099,0.816,0.726,0.0,5,0.3720000000000001,-3.998,0,0.129,136.048,4,0.65
